Date Decided,Citation,Appellants,Respondents,Case Note

























































































2022-08-08 (Page 6 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                Source : The Unreported Judgments

























































































2022-08-08 (Page 7 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                Source : The Unreported Judgments

























































































2022-08-08 (Page 8 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                Source : The Unreported Judgments

























































































2022-08-08 (Page 9 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                 Source : The Unreported Judgments

























































































2022-08-08 (Page 10 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                 Source : The Unreported Judgments

























































































2022-08-08 (Page 11 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                 Source : The Unreported Judgments

























































































2022-08-08 (Page 12 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                 Source : The Unreported Judgments

























































































2022-08-08 (Page 13 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                 Source : The Unreported Judgments

























































































2022-08-08 (Page 14 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                 Source : The Unreported Judgments

























































































2022-08-08 (Page 15 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                 Source : The Unreported Judgments

























































































2022-08-08 (Page 16 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                 Source : The Unreported Judgments

























































































2022-08-08 (Page 17 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                 Source : The Unreported Judgments

























































































2022-08-08 (Page 18 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                 Source : The Unreported Judgments

























































































2022-08-08 (Page 19 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                 Source : The Unreported Judgments

























































































2022-08-08 (Page 20 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                 Source : The Unreported Judgments

























































































2022-08-08 (Page 21 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                 Source : The Unreported Judgments

























































































2022-08-08 (Page 22 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                 Source : The Unreported Judgments

























































































2022-08-08 (Page 23 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                 Source : The Unreported Judgments

























































































2022-08-08 (Page 24 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                 Source : The Unreported Judgments

























































































2022-08-08 (Page 25 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                 Source : The Unreported Judgments

























































































2022-08-08 (Page 26 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                 Source : The Unreported Judgments

























































































2022-08-08 (Page 27 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                 Source : The Unreported Judgments

























































































2022-08-08 (Page 28 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                 Source : The Unreported Judgments

























































































2022-08-08 (Page 29 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                 Source : The Unreported Judgments

























































































2022-08-08 (Page 30 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                 Source : The Unreported Judgments

























































































2022-08-08 (Page 31 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                 Source : The Unreported Judgments

























































































2022-08-08 (Page 32 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                 Source : The Unreported Judgments

























































































2022-08-08 (Page 33 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                 Source : The Unreported Judgments

























































































2022-08-08 (Page 34 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                 Source : The Unreported Judgments

























































































2022-08-08 (Page 35 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                 Source : The Unreported Judgments

























































































2022-08-08 (Page 36 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                 Source : The Unreported Judgments

























































































2022-08-08 (Page 37 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                 Source : The Unreported Judgments

























































































2022-08-08 (Page 38 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                 Source : The Unreported Judgments

























































































2022-08-08 (Page 39 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                 Source : The Unreported Judgments

























































































2022-08-08 (Page 40 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                 Source : The Unreported Judgments

























































































2022-08-08 (Page 41 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                 Source : The Unreported Judgments

























































































2022-08-08 (Page 42 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                 Source : The Unreported Judgments

























































































2022-08-08 (Page 43 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                 Source : The Unreported Judgments

























































































2022-08-08 (Page 44 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                 Source : The Unreported Judgments

























































































2022-08-08 (Page 45 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                 Source : The Unreported Judgments

























































































2022-08-08 (Page 46 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                 Source : The Unreported Judgments

























































































2022-08-08 (Page 47 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                 Source : The Unreported Judgments

























































































2022-08-08 (Page 48 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                 Source : The Unreported Judgments

























































































2022-08-08 (Page 49 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                 Source : The Unreported Judgments

























































































2022-08-08 (Page 50 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                 Source : The Unreported Judgments

























































































2022-08-08 (Page 51 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                 Source : The Unreported Judgments

























































































2022-08-08 (Page 52 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                 Source : The Unreported Judgments

























































































2022-08-08 (Page 53 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                 Source : The Unreported Judgments

























































































2022-08-08 (Page 54 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                 Source : The Unreported Judgments

























































































2022-08-08 (Page 55 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                 Source : The Unreported Judgments

























































































2022-08-08 (Page 56 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                 Source : The Unreported Judgments

























































































2022-08-08 (Page 57 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                 Source : The Unreported Judgments

























































































2022-08-08 (Page 58 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                 Source : The Unreported Judgments

























































































2022-08-08 (Page 59 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                 Source : The Unreported Judgments

























































































2022-08-08 (Page 60 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                 Source : The Unreported Judgments

























































































2022-08-08 (Page 61 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                 Source : The Unreported Judgments

























































































2022-08-08 (Page 62 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                 Source : The Unreported Judgments

























































































2022-08-08 (Page 63 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                 Source : The Unreported Judgments

























































































2022-08-08 (Page 64 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                 Source : The Unreported Judgments

























































































2022-08-08 (Page 65 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                 Source : The Unreported Judgments

























































































2022-08-08 (Page 66 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                 Source : The Unreported Judgments

























































































2022-08-08 (Page 67 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                 Source : The Unreported Judgments

























































































2022-08-08 (Page 68 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                 Source : The Unreported Judgments

























































































2022-08-08 (Page 69 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                 Source : The Unreported Judgments

























































































2022-08-08 (Page 70 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                 Source : The Unreported Judgments

























































































2022-08-08 (Page 71 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                 Source : The Unreported Judgments

























































































2022-08-08 (Page 72 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                 Source : The Unreported Judgments

























































































2022-08-08 (Page 73 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                 Source : The Unreported Judgments

























































































2022-08-08 (Page 74 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                 Source : The Unreported Judgments

























































































2022-08-08 (Page 75 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                 Source : The Unreported Judgments

























































































2022-08-08 (Page 76 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                 Source : The Unreported Judgments

























































































2022-08-08 (Page 77 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                 Source : The Unreported Judgments

























































































2022-08-08 (Page 78 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                 Source : The Unreported Judgments

























































































2022-08-08 (Page 79 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                 Source : The Unreported Judgments

























































































2022-08-08 (Page 80 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                 Source : The Unreported Judgments

























































































2022-08-08 (Page 81 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                 Source : The Unreported Judgments

























































































2022-08-08 (Page 82 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                 Source : The Unreported Judgments

























































































2022-08-08 (Page 83 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                 Source : The Unreported Judgments

























































































2022-08-08 (Page 84 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                 Source : The Unreported Judgments

























































































2022-08-08 (Page 85 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                 Source : The Unreported Judgments

























































































2022-08-08 (Page 86 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                 Source : The Unreported Judgments

























































































2022-08-08 (Page 87 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                 Source : The Unreported Judgments

























































































2022-08-08 (Page 88 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                 Source : The Unreported Judgments

























































































2022-08-08 (Page 89 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                 Source : The Unreported Judgments

























































































2022-08-08 (Page 90 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                 Source : The Unreported Judgments

























































































2022-08-08 (Page 91 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                 Source : The Unreported Judgments

























































































2022-08-08 (Page 92 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                 Source : The Unreported Judgments

























































































2022-08-08 (Page 93 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                 Source : The Unreported Judgments

























































































2022-08-08 (Page 94 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                 Source : The Unreported Judgments

























































































2022-08-08 (Page 95 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                 Source : The Unreported Judgments

























































































2022-08-08 (Page 96 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                 Source : The Unreported Judgments

























































































2022-08-08 (Page 97 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                 Source : The Unreported Judgments

























































































2022-08-08 (Page 98 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                 Source : The Unreported Judgments




























